request_id,acquired_time,on_worklist_time,triaged_time,dictation_complete,report_signed_time,report_sent_time
RQ00001,2023-05-07 13:52:48.552599600,2023-05-07 17:42:02.803308800,2023-05-08 02:18:14.633031200,2023-05-08 06:13:09.291615200,2023-05-08 08:29:40.148102000,2023-05-08 11:11:49.215328400
RQ00002,2023-06-10 13:59:03.205521200,2023-06-10 17:12:24.436439600,2023-06-11 00:21:51.794700800,2023-06-11 04:34:10.651220000,2023-06-11 07:14:04.753881200,2023-06-11 09:43:35.919198800
RQ00003,2023-05-01 16:57:10.222665600,2023-05-01 20:02:15.763323600,2023-05-02 04:25:11.881104000,2023-05-02 08:01:04.722370799,2023-05-02 11:11:25.147706399,2023-05-02 13:40:02.043754799
RQ00004,2024-07-09 01:53:13.922859200,2024-07-09 05:22:19.613860400,2024-07-09 13:17:56.693332400,2024-07-09 17:51:17.786754799,2024-07-09 20:26:28.963090399,2024-07-09 22:47:28.421092399
RQ00005,2024-06-23 17:50:32.898926800,2024-06-23 21:30:22.254516400,2024-06-24 03:20:29.283216400,2024-06-24 08:00:38.802337600,2024-06-24 10:15:41.138860000,2024-06-24 13:17:11.546185600
RQ00006,2024-11-26 03:12:46.287450400,2024-11-26 07:01:39.556895200,2024-11-26 16:10:37.481264800,2024-11-26 20:27:49.118958399,2024-11-26 23:09:55.836072399,2024-11-27 01:42:58.266317199
RQ00007,2023-09-22 13:47:33.980724800,2023-09-22 16:59:56.484659600,2023-09-23 00:39:20.204699600,2023-09-23 05:38:16.655786000,2023-09-23 07:53:43.806712399,2023-09-23 10:32:30.469209199
RQ00008,2023-02-11 17:53:10.848854400,2023-02-11 21:13:51.490804800,2023-02-12 05:44:43.334178000,2023-02-12 10:02:24.833943600,2023-02-12 12:15:44.949225600,2023-02-12 14:53:34.414472400
RQ00009,2024-07-25 19:47:19.347757600,2024-07-25 23:40:58.735270000,2024-07-26 07:51:34.089586000,2024-07-26 11:54:02.283380800,2024-07-26 14:35:54.037238800,2024-07-26 17:06:56.486125600
RQ00010,2024-09-01 14:41:07.047905600,2024-09-01 17:42:39.847136000,2024-09-02 03:07:22.602604400,2024-09-02 06:50:50.962476800,2024-09-02 08:50:19.089084800,2024-09-02 11:20:24.271382000
RQ00011,2024-07-24 09:13:20.891448000,2024-07-24 12:33:15.958273200,2024-07-24 20:47:09.891127200,2024-07-25 01:20:06.007375200,2024-07-25 03:46:38.964988800,2024-07-25 06:10:12.018013200
RQ00012,2024-08-14 02:25:44.443148400,2024-08-14 05:41:41.714122800,2024-08-14 11:48:25.544702400,2024-08-14 15:26:40.305133200,2024-08-14 18:19:03.883341600,2024-08-14 20:40:14.655402000
RQ00013,2024-02-16 20:27:45.337709600,2024-02-16 23:20:57.669947600,2024-02-17 09:07:13.615184000,2024-02-17 14:02:21.307305200,2024-02-17 16:42:59.610586400,2024-02-17 19:54:50.163394400
RQ00014,2024-12-03 12:40:51.085469199,2024-12-03 16:33:54.416274399,2024-12-04 01:49:37.378231598,2024-12-04 05:55:00.871448798,2024-12-04 07:57:04.303791998,2024-12-04 10:47:16.384217198
RQ00015,2024-11-12 02:09:04.130547600,2024-11-12 05:27:08.576871600,2024-11-12 13:45:00.998569200,2024-11-12 18:02:00.304153200,2024-11-12 20:34:42.449557200,2024-11-12 23:22:09.037456800
RQ00016,2024-09-29 17:18:46.531433200,2024-09-29 20:47:29.664604000,2024-09-30 05:38:26.372224000,2024-09-30 10:31:37.396340800,2024-09-30 13:39:53.946778000,2024-09-30 16:23:41.561596000
RQ00017,2023-08-20 23:37:59.403538800,2023-08-21 04:07:26.246034000,2023-08-21 11:27:11.236300800,2023-08-21 15:46:04.696034400,2023-08-21 18:29:54.506420400,2023-08-21 21:31:58.196772000
RQ00018,2023-10-21 08:07:12.629103200,2023-10-21 11:09:01.698692000,2023-10-21 19:10:18.674651600,2023-10-21 23:21:38.584443200,2023-10-22 02:11:51.277512800,2023-10-22 04:57:10.224791600
RQ00019,2024-01-16 04:30:57.491237200,2024-01-16 08:13:27.121836400,2024-01-16 16:31:30.881950000,2024-01-16 21:23:51.911524000,2024-01-16 23:56:50.823182800,2024-01-17 02:25:57.093096400
RQ00020,2024-12-26 01:49:17.859250800,2024-12-26 05:25:15.132826800,2024-12-26 11:50:59.556745200,2024-12-26 15:50:31.383033600,2024-12-26 18:18:42.585727200,2024-12-26 20:44:55.204111200
RQ00021,2023-01-19 10:52:28.809984399,2023-01-19 13:58:54.586711599,2023-01-19 22:26:14.813743599,2023-01-20 02:21:48.671143599,2023-01-20 04:53:44.981750799,2023-01-20 07:37:09.710943999
RQ00022,2024-07-03 11:23:43.273223200,2024-07-03 14:59:28.262828800,2024-07-04 01:16:48.473792799,2024-07-04 04:30:06.299769999,2024-07-04 06:59:04.083169599,2024-07-04 09:55:17.181638799
RQ00023,2024-06-15 15:51:56.582930000,2024-06-15 19:42:34.923443600,2024-06-16 01:20:02.525804000,2024-06-16 05:37:59.374677200,2024-06-16 07:54:16.751413999,2024-06-16 10:35:51.418879999
RQ00024,2023-01-08 23:01:29.403497200,2023-01-09 03:39:50.402951200,2023-01-09 12:12:38.506117600,2023-01-09 16:09:15.783223600,2023-01-09 18:12:05.315042800,2023-01-09 20:50:16.153698400
RQ00025,2023-09-16 02:46:09.362396800,2023-09-16 06:13:44.368991200,2023-09-16 13:43:24.006095200,2023-09-16 17:26:13.350100000,2023-09-16 20:05:51.302851600,2023-09-16 22:55:31.441826800
RQ00026,2023-08-22 18:42:22.035643200,2023-08-22 21:42:31.035834000,2023-08-23 06:14:04.555042800,2023-08-23 10:10:25.487925600,2023-08-23 12:38:45.874986000,2023-08-23 15:21:59.846907600
RQ00027,2023-02-12 12:57:09.756250000,2023-02-12 16:43:01.538840800,2023-02-12 23:39:34.642549600,2023-02-13 03:17:04.982015200,2023-02-13 06:13:49.719754000,2023-02-13 08:45:51.501490000
RQ00028,2023-05-20 06:22:52.165184000,2023-05-20 10:24:30.564545600,2023-05-20 18:52:18.959604800,2023-05-20 23:08:42.700338800,2023-05-21 01:54:48.844233200,2023-05-21 03:52:42.847372400
RQ00029,2024-03-08 08:28:11.617942400,2024-03-08 12:12:15.108375200,2024-03-08 21:35:30.627880400,2024-03-09 01:37:29.599888400,2024-03-09 03:52:17.306108000,2024-03-09 06:13:33.773174000
RQ00030,2023-02-05 08:25:28.190032000,2023-02-05 11:48:56.197584400,2023-02-05 19:48:30.277418800,2023-02-06 00:06:57.331768000,2023-02-06 01:44:43.686190000,2023-02-06 04:56:44.083100800
RQ00031,2024-01-25 06:16:32.813417600,2024-01-25 09:53:48.298883600,2024-01-25 16:11:31.389636800,2024-01-25 19:58:50.815638800,2024-01-25 22:51:15.078729200,2024-01-26 00:52:45.618174800
RQ00032,2023-08-09 04:09:21.432032400,2023-08-09 07:31:08.779059600,2023-08-09 16:00:22.571043600,2023-08-09 20:20:06.114988800,2023-08-09 22:58:02.850208800,2023-08-10 01:18:28.703506800
RQ00033,2024-03-25 03:07:03.762306000,2024-03-25 05:53:12.961185600,2024-03-25 14:22:43.427980800,2024-03-25 19:13:47.127258000,2024-03-25 21:10:56.731100400,2024-03-25 23:33:14.153521200
RQ00034,2023-01-29 05:21:28.560899200,2023-01-29 08:56:40.575462400,2023-01-29 17:49:25.610146000,2023-01-29 21:44:51.650182000,2023-01-30 00:09:10.414757200,2023-01-30 03:05:01.795920400
RQ00035,2024-04-06 05:17:47.318405200,2024-04-06 09:03:57.478762000,2024-04-06 17:10:42.535325200,2024-04-06 21:40:12.209303200,2024-04-06 23:58:23.395162000,2024-04-07 02:20:07.285336000
RQ00036,2024-09-08 19:44:22.596356400,2024-09-08 22:25:37.531610400,2024-09-09 06:31:09.377846400,2024-09-09 10:21:39.572812800,2024-09-09 12:26:21.357704400,2024-09-09 14:45:35.588718000
RQ00037,2024-07-06 08:18:52.768607600,2024-07-06 12:19:53.902468399,2024-07-06 19:40:43.253700799,2024-07-07 00:17:07.340220799,2024-07-07 02:48:15.573785599,2024-07-07 05:47:50.789265199
RQ00038,2023-02-03 21:34:16.383020400,2023-02-04 01:02:48.525762000,2023-02-04 09:24:55.066732800,2023-02-04 13:19:31.947901200,2023-02-04 16:06:41.213979600,2023-02-04 18:02:57.045154800
RQ00039,2023-02-22 09:21:30.065994400,2023-02-22 13:17:14.060285200,2023-02-22 21:06:49.345700800,2023-02-23 00:50:15.166687600,2023-02-23 03:04:39.432428800,2023-02-23 05:52:16.697140000
RQ00040,2023-09-09 15:50:26.193401200,2023-09-09 19:15:33.646370800,2023-09-10 04:21:58.811857600,2023-09-10 07:54:45.743774800,2023-09-10 10:05:15.228056800,2023-09-10 13:13:53.636560000
RQ00041,2023-01-02 16:49:31.799099599,2023-01-02 21:01:26.125863199,2023-01-03 04:10:11.942914399,2023-01-03 07:42:29.597208799,2023-01-03 10:06:02.299143199,2023-01-03 12:27:12.315595999
RQ00042,2023-12-10 11:51:18.931475599,2023-12-10 14:58:46.904574799,2023-12-10 21:48:28.893085999,2023-12-11 01:52:44.520827599,2023-12-11 03:59:31.335756799,2023-12-11 06:03:07.914712399
RQ00043,2023-02-03 10:01:50.972602800,2023-02-03 12:39:22.376523600,2023-02-03 21:25:53.382349200,2023-02-04 00:44:01.781642399,2023-02-04 02:33:41.853952799,2023-02-04 05:04:24.553570799
RQ00044,2024-07-14 06:33:49.054020000,2024-07-14 10:18:33.709135200,2024-07-14 18:28:52.965651600,2024-07-14 21:57:06.202932000,2024-07-15 00:39:56.309006400,2024-07-15 03:33:13.258593600
RQ00045,2023-09-18 14:30:43.925633200,2023-09-18 17:55:18.114584800,2023-09-19 01:38:50.130487600,2023-09-19 05:45:26.817335200,2023-09-19 08:11:45.499638400,2023-09-19 10:46:32.191643200
RQ00046,2024-09-05 05:21:18.053590799,2024-09-05 08:17:53.118010799,2024-09-05 17:02:07.661296799,2024-09-05 21:36:21.700214399,2024-09-06 00:35:46.566007199,2024-09-06 02:33:11.729297999
RQ00047,2024-08-13 19:33:13.155402400,2024-08-13 22:04:15.974369200,2024-08-14 03:38:09.745085200,2024-08-14 07:42:29.112571600,2024-08-14 10:05:18.028634800,2024-08-14 12:46:41.867664400
RQ00048,2023-07-23 08:52:34.005968400,2023-07-23 13:00:00.218692800,2023-07-23 21:03:14.332222800,2023-07-24 02:30:56.372335200,2023-07-24 05:06:27.294976800,2023-07-24 08:15:37.172343600
RQ00049,2023-11-30 09:40:07.178392000,2023-11-30 13:50:36.709546000,2023-11-30 21:39:45.971782000,2023-12-01 00:41:18.946714000,2023-12-01 03:18:53.135432800,2023-12-01 05:49:25.943453200
RQ00050,2024-08-25 04:53:40.819170000,2024-08-25 08:54:00.756794400,2024-08-25 15:24:39.816373200,2024-08-25 19:55:06.670540800,2024-08-25 22:25:13.668382800,2024-08-26 01:25:34.736850000
RQ00051,2023-08-22 16:31:15.146637200,2023-08-22 19:47:08.410631600,2023-08-23 03:48:45.805179200,2023-08-23 07:51:49.154450000,2023-08-23 10:09:53.346866000,2023-08-23 12:36:57.337757600
RQ00052,2024-03-24 23:11:24.324809200,2024-03-25 02:28:21.963647200,2024-03-25 11:08:56.679863200,2024-03-25 15:04:49.442350000,2024-03-25 17:52:59.232870400,2024-03-25 20:25:38.969046399
RQ00053,2024-03-16 10:47:42.653520000,2024-03-16 14:35:37.748318400,2024-03-16 21:55:12.705010800,2024-03-17 01:48:12.643892400,2024-03-17 04:40:29.221702800,2024-03-17 06:55:35.481606000
RQ00054,2024-07-30 21:15:47.307764400,2024-07-31 00:44:34.374734400,2024-07-31 09:26:37.707308400,2024-07-31 13:52:16.983367200,2024-07-31 16:27:01.929490800,2024-07-31 18:56:32.724872400
RQ00055,2024-06-07 08:06:57.414100000,2024-06-07 12:17:01.594716400,2024-06-07 20:15:23.350932400,2024-06-08 00:07:22.289927200,2024-06-08 02:44:21.513804400,2024-06-08 05:21:03.338986000
RQ00056,2023-07-23 03:02:12.424608800,2023-07-23 06:39:23.220048800,2023-07-23 13:18:34.875376400,2023-07-23 17:29:48.940539200,2023-07-23 19:45:28.026398000,2023-07-23 22:22:07.851185600
RQ00057,2023-05-29 16:46:55.613807600,2023-05-29 21:30:32.639830400,2023-05-30 06:15:06.539693600,2023-05-30 10:56:03.177551600,2023-05-30 13:59:44.665197200,2023-05-30 16:44:33.061587200
RQ00058,2023-08-19 19:01:17.848327999,2023-08-19 21:59:17.750333599,2023-08-20 05:52:17.882578399,2023-08-20 09:30:36.324664399,2023-08-20 11:53:23.181106399,2023-08-20 15:03:03.497553199
RQ00059,2024-02-13 23:26:29.263743600,2024-02-14 02:30:12.644503200,2024-02-14 11:52:40.964941200,2024-02-14 16:21:20.460798000,2024-02-14 19:09:28.726570800,2024-02-14 21:09:22.105951200
RQ00060,2023-09-04 08:53:08.521545600,2023-09-04 12:06:23.195010000,2023-09-04 20:53:03.832192800,2023-09-05 02:08:46.671814800,2023-09-05 05:17:34.431181199,2023-09-05 07:35:58.664084399
RQ00061,2024-10-20 08:40:51.973757600,2024-10-20 12:53:46.597634000,2024-10-20 21:02:17.998557200,2024-10-21 00:47:16.411961600,2024-10-21 03:28:27.327992000,2024-10-21 06:01:31.418049200
